DATAFLOW,LAST UPDATE,freq,size_emp,nace_r2,indic_is,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Albania,2022,,u,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Austria,2019,65.67,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Austria,2022,79.95,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Austria,2024,80.64,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Bosnia and Herzegovina,2019,66.97,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Bosnia and Herzegovina,2022,59.97,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Bosnia and Herzegovina,2024,73.87,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Belgium,2019,73.62,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Belgium,2022,88.90,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Belgium,2024,90.00,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Bulgaria,2019,72.34,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Bulgaria,2022,77.45,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Bulgaria,2024,78.84,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Cyprus,2019,67.82,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Cyprus,2022,84.93,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Cyprus,2024,94.99,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Czechia,2019,85.71,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Czechia,2022,86.47,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Czechia,2024,87.20,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Germany,2019,83.87,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Germany,2022,88.36,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Germany,2024,89.14,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Denmark,2019,82.83,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Denmark,2022,85.22,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Denmark,2024,65.40,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2019,77.11,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2022,82.97,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2024,84.39,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Estonia,2019,61.04,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Estonia,2022,70.27,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Estonia,2024,79.55,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Greece,2019,54.73,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Greece,2022,60.07,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Greece,2024,58.08,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Spain,2019,69.06,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Spain,2022,77.43,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Spain,2024,82.54,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,European Union - 27 countries (from 2020),2019,76.03,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,European Union - 27 countries (from 2020),2022,82.22,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,European Union - 27 countries (from 2020),2024,83.69,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,European Union - 28 countries (2013-2020),2019,77.30,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Finland,2019,90.70,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Finland,2022,93.67,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Finland,2024,95.18,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,France,2019,70.28,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,France,2022,81.36,b,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,France,2024,82.18,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Croatia,2019,67.06,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Croatia,2022,67.42,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Croatia,2024,71.34,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Hungary,2019,67.89,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Hungary,2022,64.34,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Hungary,2024,72.46,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Ireland,2019,85.15,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Ireland,2022,84.03,b,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Ireland,2024,75.05,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Italy,2019,82.16,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Italy,2022,83.89,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Italy,2024,86.60,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Lithuania,2019,65.56,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Lithuania,2022,70.99,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Lithuania,2024,68.89,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Luxembourg,2019,76.20,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Luxembourg,2022,77.66,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Luxembourg,2024,79.80,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Latvia,2019,86.91,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Latvia,2022,75.78,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Latvia,2024,86.39,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Montenegro,2019,50.60,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Montenegro,2022,51.13,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Montenegro,2024,54.54,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,North Macedonia,2022,46.75,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Malta,2019,83.08,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Malta,2022,87.89,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Malta,2024,90.46,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Netherlands,2019,75.89,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Netherlands,2022,81.74,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Netherlands,2024,82.79,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Norway,2019,71.98,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Norway,2022,78.90,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Norway,2024,80.21,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Poland,2019,76.35,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Poland,2022,82.03,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Poland,2024,83.60,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Portugal,2019,84.89,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Portugal,2022,84.09,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Portugal,2024,88.58,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Romania,2019,53.27,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Romania,2022,83.26,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Romania,2024,85.00,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Serbia,2019,73.63,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Serbia,2022,79.15,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Serbia,2024,84.42,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Sweden,2019,73.27,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Sweden,2022,76.50,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Sweden,2024,78.05,b,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Slovenia,2019,56.60,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Slovenia,2022,67.91,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Slovenia,2024,76.32,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Slovakia,2019,77.27,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Slovakia,2022,77.05,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Slovakia,2024,79.50,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Türkiye,2022,61.84,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,Türkiye,2024,64.93,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: strong password authentication,Percentage of enterprises,United Kingdom,2019,86.06,,
